year,investor_name,investor,issuer_nationality_name,issuer_nationality,portfolio_share
2017,"Denmark","DNK","Colombia","COL",.0291717
2017,"Denmark","DNK","Denmark","DNK",.3005931
2017,"Denmark","DNK","Dominican Republic","DOM",.0125967
2017,"Denmark","DNK","European Monetary Union","EMU",.0624175
2017,"Denmark","DNK","Germany","DEU",.0180206
2017,"Denmark","DNK","Hungary","HUN",.0129987
2017,"Denmark","DNK","Indonesia","IDN",.0327951
2017,"Denmark","DNK","Italy","ITA",.0244419
2017,"Denmark","DNK","Malaysia","MYS",.0231236
2017,"Denmark","DNK","Mexico","MEX",.0414267
2017,"Denmark","DNK","Peru","PER",.0161138
2017,"Denmark","DNK","Poland","POL",.0280672
2017,"Denmark","DNK","Russian Federation","RUS",.0332862
2017,"Denmark","DNK","South Africa","ZAF",.0337264
2017,"Denmark","DNK","Spain","ESP",.007496
2017,"Denmark","DNK","Thailand","THA",.0097932
2017,"Denmark","DNK","Turkey","TUR",.0414749
2017,"Denmark","DNK","Ukraine","UKR",.0114919
2017,"Denmark","DNK","United Kingdom","GBR",.0099429
2017,"Denmark","DNK","United States","USA",.0741355
2017,"Denmark","DNK","Uruguay","URY",.0076713
2017,"European Monetary Union","EMU","Argentina","ARG",.0144752
2017,"European Monetary Union","EMU","Australia","AUS",.0058492
2017,"European Monetary Union","EMU","Austria","AUT",.0076308
2017,"European Monetary Union","EMU","Belgium","BEL",.0107991
2017,"European Monetary Union","EMU","Brazil","BRA",.0147404
2017,"European Monetary Union","EMU","Canada","CAN",.0073763
2017,"European Monetary Union","EMU","Colombia","COL",.0083097
2017,"European Monetary Union","EMU","Cyprus","CYP",.0005927
2017,"European Monetary Union","EMU","European Monetary Union","EMU",.4356146
2017,"European Monetary Union","EMU","Finland","FIN",.00276
2017,"European Monetary Union","EMU","France","FRA",.0551733
2017,"European Monetary Union","EMU","Germany","DEU",.068294
2017,"European Monetary Union","EMU","Greece","GRC",.0045179
2017,"European Monetary Union","EMU","Indonesia","IDN",.017086
2017,"European Monetary Union","EMU","Ireland","IRL",.0055764
2017,"European Monetary Union","EMU","Italy","ITA",.1672411
2017,"European Monetary Union","EMU","Japan","JPN",.0234233
2017,"European Monetary Union","EMU","Latvia","LVA",.0003778
2017,"European Monetary Union","EMU","Lithuania","LTU",.0006678
2017,"European Monetary Union","EMU","Luxembourg","LUX",.000216
2017,"European Monetary Union","EMU","Malaysia","MYS",.0067883
2017,"European Monetary Union","EMU","Malta","MLT",.0000106
2017,"European Monetary Union","EMU","Mexico","MEX",.0201762
2017,"European Monetary Union","EMU","Netherlands","NLD",.0114163
2017,"European Monetary Union","EMU","Poland","POL",.0111524
2017,"European Monetary Union","EMU","Portugal","PRT",.011316
2017,"European Monetary Union","EMU","Russian Federation","RUS",.0120597
2017,"European Monetary Union","EMU","Slovakia","SVK",.0008773
2017,"European Monetary Union","EMU","Slovenia","SVN",.0013796
2017,"European Monetary Union","EMU","South Africa","ZAF",.0127916
2017,"European Monetary Union","EMU","Spain","ESP",.0867679
2017,"European Monetary Union","EMU","Sweden","SWE",.0083953
2017,"European Monetary Union","EMU","Turkey","TUR",.0146223
2017,"European Monetary Union","EMU","United Kingdom","GBR",.0435481
2017,"European Monetary Union","EMU","United States","USA",.2337678
2017,"Norway","NOR","Austria","AUT",.0017095
2017,"Norway","NOR","Belgium","BEL",.0050646
2017,"Norway","NOR","Canada","CAN",.0048913
2017,"Norway","NOR","Dominican Republic","DOM",.0036499
2017,"Norway","NOR","European Monetary Union","EMU",.0601546
2017,"Norway","NOR","Finland","FIN",.0019731
2017,"Norway","NOR","France","FRA",.0075022
2017,"Norway","NOR","Germany","DEU",.013272
